Protein,Drug,Cell_lines
Q86T13,DB02709,MCF7
Q8TCG2,DB02709,MCF7
P08648,DB02709,MCF7
Q92945,DB02709,MCF7
P16050,DB02709,PC3
P37840,DB02709,PC3
P11166,DB02709,PC3
Q86T13,DB02709,PC3
Q8TCG2,DB02709,PC3
P08648,DB02709,PC3
Q92945,DB02709,PC3
P16050,DB02709,MCF7
P37840,DB02709,MCF7
P11166,DB02709,MCF7
Q86T13,DB02709,MCF7
Q8TCG2,DB02709,MCF7
P08648,DB02709,MCF7
Q92945,DB02709,MCF7
P16050,DB02709,SKB
P37840,DB02709,SKB
P11166,DB02709,SKB
Q86T13,DB02709,SKB
Q8TCG2,DB02709,SKB
P08648,DB02709,SKB
Q92945,DB02709,SKB
P16050,DB02709,HA1E
P37840,DB02709,HA1E
P11166,DB02709,HA1E
Q86T13,DB02709,HA1E
Q8TCG2,DB02709,HA1E
P08648,DB02709,HA1E
Q92945,DB02709,HA1E
P16050,DB02709,PC3
P37840,DB02709,PC3
P11166,DB02709,PC3
Q86T13,DB02709,PC3
Q8TCG2,DB02709,PC3
P08648,DB02709,PC3
Q92945,DB02709,PC3
P16050,DB02709,VCAP
P37840,DB02709,VCAP
P11166,DB02709,VCAP
Q86T13,DB02709,VCAP
Q8TCG2,DB02709,VCAP
P08648,DB02709,VCAP
Q92945,DB02709,VCAP
P10828,DB00279,A375
P10827,DB00279,A375
P12004,DB00279,A375
P10828,DB00279,MCF7
P10827,DB00279,MCF7
P12004,DB00279,MCF7
P10828,DB00279,PC3
P10827,DB00279,PC3
P12004,DB00279,PC3
P04818,DB00293,MCF7
P04818,DB00293,PC3
P04818,DB00293,VCAP
P00395,DB02659,A375
P22830,DB02659,A375
P51161,DB02659,A375
P00403,DB02659,A375
P13073,DB02659,A375
P00414,DB02659,A375
P20674,DB02659,A375
P10606,DB02659,A375
P09669,DB02659,A375
P24311,DB02659,A375
P15954,DB02659,A375
P10176,DB02659,A375
Q02221,DB02659,A375
P14854,DB02659,A375
P24310,DB02659,A375
Q7KZA3,DB02659,A375
Q8TDU6,DB02659,A375
P20648,DB00213,MCF7
P19801,DB00594,A375
Q16515,DB00594,A375
P19634,DB00594,A375
P43116,DB00770,MCF7
Q969G6,DB00140,A549
P30043,DB00140,A549
Q969G6,DB00140,PC3
P30043,DB00140,PC3
P04070,DB00170,A375
P22891,DB00170,A375
Q9BQB6,DB00170,A375
P02818,DB00170,A375
P15559,DB00170,A375
Q8N0U8,DB00170,A375
P04070,DB00170,A549
P22891,DB00170,A549
Q9BQB6,DB00170,A549
P02818,DB00170,A549
P15559,DB00170,A549
Q8N0U8,DB00170,A549
P04070,DB00170,ASC
P22891,DB00170,ASC
Q9BQB6,DB00170,ASC
P02818,DB00170,ASC
P15559,DB00170,ASC
Q8N0U8,DB00170,ASC
P04070,DB00170,HEPG2
P22891,DB00170,HEPG2
Q9BQB6,DB00170,HEPG2
P02818,DB00170,HEPG2
P15559,DB00170,HEPG2
Q8N0U8,DB00170,HEPG2
P04070,DB00170,MCF7
P22891,DB00170,MCF7
Q9BQB6,DB00170,MCF7
P02818,DB00170,MCF7
P15559,DB00170,MCF7
Q8N0U8,DB00170,MCF7
P04070,DB00170,NPC
P22891,DB00170,NPC
Q9BQB6,DB00170,NPC
P02818,DB00170,NPC
P15559,DB00170,NPC
Q8N0U8,DB00170,NPC
P04070,DB00170,A673
P22891,DB00170,A673
Q9BQB6,DB00170,A673
P02818,DB00170,A673
P15559,DB00170,A673
Q8N0U8,DB00170,A673
P04070,DB00170,CORL23
P22891,DB00170,CORL23
Q9BQB6,DB00170,CORL23
P02818,DB00170,CORL23
P15559,DB00170,CORL23
Q8N0U8,DB00170,CORL23
P04070,DB00170,EFO27
P22891,DB00170,EFO27
Q9BQB6,DB00170,EFO27
P02818,DB00170,EFO27
P15559,DB00170,EFO27
Q8N0U8,DB00170,EFO27
P04070,DB00170,H1299
P22891,DB00170,H1299
Q9BQB6,DB00170,H1299
P02818,DB00170,H1299
P15559,DB00170,H1299
Q8N0U8,DB00170,H1299
P04070,DB00170,HA1E
P22891,DB00170,HA1E
Q9BQB6,DB00170,HA1E
P02818,DB00170,HA1E
P15559,DB00170,HA1E
Q8N0U8,DB00170,HA1E
P04070,DB00170,HCC515
P22891,DB00170,HCC515
Q9BQB6,DB00170,HCC515
P02818,DB00170,HCC515
P15559,DB00170,HCC515
Q8N0U8,DB00170,HCC515
P04070,DB00170,HEC108
P22891,DB00170,HEC108
Q9BQB6,DB00170,HEC108
P02818,DB00170,HEC108
P15559,DB00170,HEC108
Q8N0U8,DB00170,HEC108
P04070,DB00170,LOVO
P22891,DB00170,LOVO
Q9BQB6,DB00170,LOVO
P02818,DB00170,LOVO
P15559,DB00170,LOVO
Q8N0U8,DB00170,LOVO
P04070,DB00170,MDST8
P22891,DB00170,MDST8
Q9BQB6,DB00170,MDST8
P02818,DB00170,MDST8
P15559,DB00170,MDST8
Q8N0U8,DB00170,MDST8
P04070,DB00170,NCIH1836
P22891,DB00170,NCIH1836
Q9BQB6,DB00170,NCIH1836
P02818,DB00170,NCIH1836
P15559,DB00170,NCIH1836
Q8N0U8,DB00170,NCIH1836
P04070,DB00170,NCIH2073
P22891,DB00170,NCIH2073
Q9BQB6,DB00170,NCIH2073
P02818,DB00170,NCIH2073
P15559,DB00170,NCIH2073
Q8N0U8,DB00170,NCIH2073
P04070,DB00170,NCIH596
P22891,DB00170,NCIH596
Q9BQB6,DB00170,NCIH596
P02818,DB00170,NCIH596
P15559,DB00170,NCIH596
Q8N0U8,DB00170,NCIH596
P04070,DB00170,NOMO1
P22891,DB00170,NOMO1
Q9BQB6,DB00170,NOMO1
P02818,DB00170,NOMO1
P15559,DB00170,NOMO1
Q8N0U8,DB00170,NOMO1
P04070,DB00170,OV7
P22891,DB00170,OV7
Q9BQB6,DB00170,OV7
P02818,DB00170,OV7
P15559,DB00170,OV7
Q8N0U8,DB00170,OV7
P04070,DB00170,PC3
P22891,DB00170,PC3
Q9BQB6,DB00170,PC3
P02818,DB00170,PC3
P15559,DB00170,PC3
Q8N0U8,DB00170,PC3
P04070,DB00170,RKO
P22891,DB00170,RKO
Q9BQB6,DB00170,RKO
P02818,DB00170,RKO
P15559,DB00170,RKO
Q8N0U8,DB00170,RKO
P04070,DB00170,RMGI
P22891,DB00170,RMGI
Q9BQB6,DB00170,RMGI
P02818,DB00170,RMGI
P15559,DB00170,RMGI
Q8N0U8,DB00170,RMGI
P04070,DB00170,RMUGS
P22891,DB00170,RMUGS
Q9BQB6,DB00170,RMUGS
P02818,DB00170,RMUGS
P15559,DB00170,RMUGS
Q8N0U8,DB00170,RMUGS
P04070,DB00170,SKLU1
P22891,DB00170,SKLU1
Q9BQB6,DB00170,SKLU1
P02818,DB00170,SKLU1
P15559,DB00170,SKLU1
Q8N0U8,DB00170,SKLU1
P04070,DB00170,SKM1
P22891,DB00170,SKM1
Q9BQB6,DB00170,SKM1
P02818,DB00170,SKM1
P15559,DB00170,SKM1
Q8N0U8,DB00170,SKM1
P04070,DB00170,SKMEL28
P22891,DB00170,SKMEL28
Q9BQB6,DB00170,SKMEL28
P02818,DB00170,SKMEL28
P15559,DB00170,SKMEL28
Q8N0U8,DB00170,SKMEL28
P04070,DB00170,SNGM
P22891,DB00170,SNGM
Q9BQB6,DB00170,SNGM
P02818,DB00170,SNGM
P15559,DB00170,SNGM
Q8N0U8,DB00170,SNGM
P04070,DB00170,SNUC4
P22891,DB00170,SNUC4
Q9BQB6,DB00170,SNUC4
P02818,DB00170,SNUC4
P15559,DB00170,SNUC4
Q8N0U8,DB00170,SNUC4
P04070,DB00170,SW480
P22891,DB00170,SW480
Q9BQB6,DB00170,SW480
P02818,DB00170,SW480
P15559,DB00170,SW480
Q8N0U8,DB00170,SW480
P04070,DB00170,SW620
P22891,DB00170,SW620
Q9BQB6,DB00170,SW620
P02818,DB00170,SW620
P15559,DB00170,SW620
Q8N0U8,DB00170,SW620
P04070,DB00170,SW948
P22891,DB00170,SW948
Q9BQB6,DB00170,SW948
P02818,DB00170,SW948
P15559,DB00170,SW948
Q8N0U8,DB00170,SW948
P04070,DB00170,THP1
P22891,DB00170,THP1
Q9BQB6,DB00170,THP1
P02818,DB00170,THP1
P15559,DB00170,THP1
Q8N0U8,DB00170,THP1
P04070,DB00170,U937
P22891,DB00170,U937
Q9BQB6,DB00170,U937
P02818,DB00170,U937
P15559,DB00170,U937
Q8N0U8,DB00170,U937
P04070,DB00170,VCAP
P22891,DB00170,VCAP
Q9BQB6,DB00170,VCAP
P02818,DB00170,VCAP
P15559,DB00170,VCAP
Q8N0U8,DB00170,VCAP
P04070,DB00170,WSUDLCL2
P22891,DB00170,WSUDLCL2
Q9BQB6,DB00170,WSUDLCL2
P02818,DB00170,WSUDLCL2
P15559,DB00170,WSUDLCL2
Q8N0U8,DB00170,WSUDLCL2
Q02127,DB01097,PHH
Q14289,DB01097,PHH
Q02127,DB01097,SKB
Q14289,DB01097,SKB
Q02127,DB01097,HA1E
Q14289,DB01097,HA1E
Q02127,DB01097,PC3
Q14289,DB01097,PC3
Q9NZV8,DB00280,A375
Q9UK17,DB00280,A375
P19652,DB00280,A375
Q9NZV8,DB00280,MCF7
Q9UK17,DB00280,MCF7
P19652,DB00280,MCF7
Q9NZV8,DB00280,PC3
Q9UK17,DB00280,PC3
P19652,DB00280,PC3
P41143,DB00193,HCC515
P28335,DB00193,HCC515
P41145,DB00193,HCC515
P35372,DB00193,HCC515
Q693P7,DB00193,HCC515
P55017,DB00436,MCF7
P55017,DB00436,VCAP
P18405,DB00367,VCAP
Q8TDS4,DB00257,MCF7
Q8TDS4,DB00257,PC3
Q8TDS4,DB00257,VCAP
P47712,DB00588,A549
P47712,DB00588,HA1E
P47712,DB00588,HCC515
P47712,DB00588,PC3
Q9NYX4,DB00363,ASC
Q9NYX4,DB00363,HEPG2
Q9NYX4,DB00363,VCAP
P51787,DB01244,VCAP
P51787,DB01244,MCF7
Q14654,DB00222,MCF7
Q14654,DB00222,VCAP
Q14654,DB00222,PC3
Q14654,DB00222,MCF7
Q14654,DB00222,SKB
Q14654,DB00222,HA1E
Q14654,DB01016,AGS
Q15842,DB01016,AGS
Q14654,DB01016,EFO27
Q15842,DB01016,EFO27
Q14654,DB01016,PC3
Q15842,DB01016,PC3
Q14654,DB01016,HT29
Q15842,DB01016,HT29
Q14654,DB01016,VCAP
Q15842,DB01016,VCAP
P04150,DB00180,A549
P04150,DB00180,PHH
P04150,DB00180,HCC515
P04150,DB00180,HEPG2
P04150,DB00180,MCF7
P04150,DB00180,PC3
P04150,DB00180,VCAP
P12931,DB01254,A375
P06241,DB01254,A375
P07947,DB01254,A375
P29317,DB01254,A375
P06239,DB01254,A375
P51692,DB01254,A375
Q16539,DB01254,A375
Q06187,DB01254,A375
P41240,DB01254,A375
P54760,DB01254,A375
P11142,DB01254,A375
P07948,DB01254,A375
P42685,DB01254,A375
P11274,DB01254,A375
P09769,DB01254,A375
P54756,DB01254,A375
Q9NYL2,DB01254,A375
Q92570,DB01254,A375
P12931,DB01254,A549
P06241,DB01254,A549
P07947,DB01254,A549
P29317,DB01254,A549
P06239,DB01254,A549
P51692,DB01254,A549
Q16539,DB01254,A549
Q06187,DB01254,A549
P41240,DB01254,A549
P54760,DB01254,A549
P11142,DB01254,A549
P07948,DB01254,A549
P42685,DB01254,A549
P11274,DB01254,A549
P09769,DB01254,A549
P54756,DB01254,A549
Q9NYL2,DB01254,A549
Q92570,DB01254,A549
P12931,DB01254,ASC
P06241,DB01254,ASC
P07947,DB01254,ASC
P29317,DB01254,ASC
P06239,DB01254,ASC
P51692,DB01254,ASC
Q16539,DB01254,ASC
Q06187,DB01254,ASC
P41240,DB01254,ASC
P54760,DB01254,ASC
P11142,DB01254,ASC
P07948,DB01254,ASC
P42685,DB01254,ASC
P11274,DB01254,ASC
P09769,DB01254,ASC
P54756,DB01254,ASC
Q9NYL2,DB01254,ASC
Q92570,DB01254,ASC
P12931,DB01254,HA1E
P06241,DB01254,HA1E
P07947,DB01254,HA1E
P29317,DB01254,HA1E
P06239,DB01254,HA1E
P51692,DB01254,HA1E
Q16539,DB01254,HA1E
Q06187,DB01254,HA1E
P41240,DB01254,HA1E
P54760,DB01254,HA1E
P11142,DB01254,HA1E
P07948,DB01254,HA1E
P42685,DB01254,HA1E
P11274,DB01254,HA1E
P09769,DB01254,HA1E
P54756,DB01254,HA1E
Q9NYL2,DB01254,HA1E
Q92570,DB01254,HA1E
P12931,DB01254,HT29
P06241,DB01254,HT29
P07947,DB01254,HT29
P29317,DB01254,HT29
P06239,DB01254,HT29
P51692,DB01254,HT29
Q16539,DB01254,HT29
Q06187,DB01254,HT29
P41240,DB01254,HT29
P54760,DB01254,HT29
P11142,DB01254,HT29
P07948,DB01254,HT29
P42685,DB01254,HT29
P11274,DB01254,HT29
P09769,DB01254,HT29
P54756,DB01254,HT29
Q9NYL2,DB01254,HT29
Q92570,DB01254,HT29
P12931,DB01254,MCF7
P06241,DB01254,MCF7
P07947,DB01254,MCF7
P29317,DB01254,MCF7
P06239,DB01254,MCF7
P51692,DB01254,MCF7
Q16539,DB01254,MCF7
Q06187,DB01254,MCF7
P41240,DB01254,MCF7
P54760,DB01254,MCF7
P11142,DB01254,MCF7
P07948,DB01254,MCF7
P42685,DB01254,MCF7
P11274,DB01254,MCF7
P09769,DB01254,MCF7
P54756,DB01254,MCF7
Q9NYL2,DB01254,MCF7
Q92570,DB01254,MCF7
P12931,DB01254,NPC
P06241,DB01254,NPC
P07947,DB01254,NPC
P29317,DB01254,NPC
P06239,DB01254,NPC
P51692,DB01254,NPC
Q16539,DB01254,NPC
Q06187,DB01254,NPC
P41240,DB01254,NPC
P54760,DB01254,NPC
P11142,DB01254,NPC
P07948,DB01254,NPC
P42685,DB01254,NPC
P11274,DB01254,NPC
P09769,DB01254,NPC
P54756,DB01254,NPC
Q9NYL2,DB01254,NPC
Q92570,DB01254,NPC
P12931,DB01254,PC3
P06241,DB01254,PC3
P07947,DB01254,PC3
P29317,DB01254,PC3
P06239,DB01254,PC3
P51692,DB01254,PC3
Q16539,DB01254,PC3
Q06187,DB01254,PC3
P41240,DB01254,PC3
P54760,DB01254,PC3
P11142,DB01254,PC3
P07948,DB01254,PC3
P42685,DB01254,PC3
P11274,DB01254,PC3
P09769,DB01254,PC3
P54756,DB01254,PC3
Q9NYL2,DB01254,PC3
Q92570,DB01254,PC3
P12931,DB01254,SKB
P06241,DB01254,SKB
P07947,DB01254,SKB
P29317,DB01254,SKB
P06239,DB01254,SKB
P51692,DB01254,SKB
Q16539,DB01254,SKB
Q06187,DB01254,SKB
P41240,DB01254,SKB
P54760,DB01254,SKB
P11142,DB01254,SKB
P07948,DB01254,SKB
P42685,DB01254,SKB
P11274,DB01254,SKB
P09769,DB01254,SKB
P54756,DB01254,SKB
Q9NYL2,DB01254,SKB
Q92570,DB01254,SKB
P12931,DB01254,BT20
P06241,DB01254,BT20
P07947,DB01254,BT20
P29317,DB01254,BT20
P06239,DB01254,BT20
P51692,DB01254,BT20
Q16539,DB01254,BT20
Q06187,DB01254,BT20
P41240,DB01254,BT20
P54760,DB01254,BT20
P11142,DB01254,BT20
P07948,DB01254,BT20
P42685,DB01254,BT20
P11274,DB01254,BT20
P09769,DB01254,BT20
P54756,DB01254,BT20
Q9NYL2,DB01254,BT20
Q92570,DB01254,BT20
P12931,DB01254,HCC515
P06241,DB01254,HCC515
